State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,literacy_rate,sex_ratio,Male_literacy_rate,Female_literacy_rate
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,416677,401331,663060,351738,311322,17606,8712,8894,56606,27824,28782,327658,239125,88533,622213,57941,134169,618,553,546,166,81.06,96.32,84.42,77.57
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,322463,318074,502427,264085,238342,7843,3915,3928,92669,45124,47545,249590,180411,69179,341664,63623,231961,855,542,563,92,78.44,98.64,81.9,74.93
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,3788051,3426174,5435760,3025463,2410297,759483,399075,360408,89138,47106,42032,2594952,2127547,467405,6042416,883238,50754,14542,4518,209287,2055,75.35,90.45,79.87,70.35
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,771049,743141,995459,558180,437279,132915,68518,64397,7322,3856,3466,657139,453642,203497,1410463,99105,919,415,243,2053,40,65.74,96.38,72.39,58.84
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1087224,1005521,1551253,874481,676772,104465,54476,49989,24824,12761,12063,844794,627561,217233,1798794,250919,29789,1524,267,8591,142,74.13,92.49,80.43,67.31
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,1610379,1510127,1704923,1048402,656521,327460,169288,158172,284155,144355,139800,1248600,836268,412332,2890305,213505,1686,486,281,12659,83,54.64,93.77,65.1,43.47
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,805707,745312,1118276,623047,495229,62235,31979,30256,488194,250398,237796,627124,468919,158205,1188204,343511,9494,1733,442,4813,342,72.1,92.5,77.33,66.45
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,1490201,1390164,1887255,1087371,799884,157034,80827,76207,9110,4751,4359,1150632,838781,311851,2632574,212863,3457,1410,445,26974,127,65.52,93.29,72.97,57.54
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,723864,667889,1030494,582686,447808,108608,56919,51689,18204,9711,8493,534976,408075,126901,1319586,57273,3237,1985,497,6405,82,74.04,92.27,80.5,67.05
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1114192,1045927,1396534,795140,601394,173895,89597,84298,24187,12415,11772,847440,646822,200618,1810443,320805,4392,1873,1086,18856,136,64.65,93.87,71.36,57.5
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,1404356,1338726,1842818,1046981,795837,265793,136319,129474,55571,28463,27108,1123709,801859,321850,2397056,334858,2586,1110,1291,3841,77,67.18,95.33,74.55,59.45
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1096737,995634,1252319,739239,513080,258859,133224,125635,24228,12825,11403,776228,624704,151524,1608921,442355,6192,6353,490,25312,98,59.85,90.78,67.4,51.53
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,1185727,1114158,1660243,942480,717763,115631,59734,55897,40336,21057,19279,933983,674586,259397,2000884,264482,26629,1403,300,3479,82,72.19,93.96,79.49,64.42
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1056520,978544,1502645,847499,655146,162288,84470,77818,9392,4879,4513,812064,588699,223365,1885732,136431,1954,1082,146,7087,88,73.84,92.62,80.22,66.95
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,301086,289211,370336,211767,158569,8733,4465,4268,481392,244524,236868,294795,174282,120513,559848,22600,4413,147,80,373,2078,62.74,96.06,70.33,54.83
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,678165,651507,1001909,539471,462438,35464,17959,17505,639659,319740,319919,591834,407881,183953,1225087,78669,5733,2459,601,13386,2823,75.35,96.07,79.55,70.98
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,1226961,1163815,1440805,858054,582751,100446,51278,49168,721604,368348,353256,1097507,673565,423942,2220974,158513,2863,662,337,5236,131,60.27,94.85,69.93,50.07
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,694397,649337,837913,494631,343282,123408,64190,59218,13303,6835,6468,554830,383074,171756,1194745,142797,916,337,66,3602,66,62.36,93.51,71.23,52.87
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,300209,285240,393678,221621,172057,51830,26607,25223,13039,6730,6309,231169,174118,57051,549749,33565,500,248,91,515,38,67.24,95.01,73.82,60.32
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,1974445,1830113,2725056,1514075,1210981,290169,149782,140387,24017,12504,11513,1479050,1159480,319570,3397406,361388,5478,1918,1170,33591,269,71.63,92.69,76.68,66.17
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,1244231,1184358,1578734,918625,660109,187685,96527,91158,542156,272531,269625,1084878,681435,403443,2260560,148563,6375,614,168,11110,52,65.01,95.19,73.83,55.74
Gujarat,Surat,21.25761372772093,72.93488716344339,492,6081322,3402224,2679098,4571410,2687468,1883942,158115,82202,75913,856952,432089,424863,2553542,2142819,410723,5260193,660772,21052,5703,12902,112835,3920,75.17,78.75,78.99,70.32
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,475,1756268,909917,846351,1093626,643221,450405,179461,93427,86034,21453,11068,10385,723500,504038,219462,1620282,109681,1419,512,312,22992,128,62.27,93.01,70.69,53.22
Gujarat,The Dangs,20.801633877551023,73.6883518367347,489,228291,113821,114470,140968,77314,63654,992,490,502,216073,107539,108534,118257,61329,56928,203545,3593,20029,69,32,39,560,61.75,100.57,67.93,55.61
Gujarat,Vadodara,22.26133739279589,73.49433010291594,486,4165626,2153736,2011890,2893080,1614087,1278993,221629,114602,107027,1149901,586665,563236,1693473,1233312,460161,3713941,384579,23813,9340,2069,27650,1124,69.45,93.41,74.94,63.57
Gujarat,Valsad,20.44238231644259,72.9148584798345,491,1705678,887222,818456,1170657,655528,515129,38237,19557,18680,902794,450976,451818,743245,516188,227057,1571147,94034,19661,1589,913,13809,1417,68.63,92.25,73.89,62.94
Haryana,Ambala,30.3503672316384,76.94970310734456,70,1128350,598703,529647,818025,461288,356737,296246,156874,139372,0,0,0,372139,320120,52019,955096,22143,3705,138202,381,4845,110,72.5,88.47,77.05,67.35
Haryana,Bhiwani,28.728868064516128,76.02110225806452,81,1634445,866672,767773,1069871,643158,426713,341162,181475,159687,0,0,0,623006,430678,192328,1611031,15515,873,2401,254,1016,26,65.46,88.59,74.21,55.58
Haryana,Faridabad,28.14873109756098,77.32718536585368,88,1809733,966110,843623,1272739,734940,537799,223799,119495,104304,0,0,0,579229,476933,102296,1588407,161680,9743,34572,640,4883,249,70.33,87.32,76.07,63.75
Haryana,Fatehabad,29.57298318584072,75.54608716814157,78,942011,495360,446651,557578,327471,230107,284357,149111,135246,0,0,0,369083,263498,105585,779243,8360,996,150969,171,1172,530,59.19,90.17,66.11,51.52
Haryana,Gurgaon,28.043894789579163,77.01935130260523,86,1514432,816690,697742,1111116,638666,472450,197937,104332,93605,0,0,0,544716,432456,112260,1408801,70842,9725,15097,944,7451,254,73.37,85.44,78.2,67.71
Haryana,Hisar,29.23628731117825,75.84324682779452,80,1743931,931562,812369,1114311,670200,444111,408785,217338,191447,0,0,0,691621,488321,203300,1701061,21650,1945,12270,334,3620,33,63.9,87.21,71.94,54.67
